run_id,kind,weight_type,rng_seed,n,edges,seed_frac,seed_count,theta_mean,theta_sd,max_steps,final_adoption,steps_to_converge,xi_1,xi_2,xi_3,xi_inf
1,random,uniform,1051,100,233,0.03,3,0.45,0.1,50,0.06,1,0.7,0.22,0.05,0.01
2,random,uniform,2060,100,263,0.03,3,0.45,0.1,50,0.04,1,0.68,0.13,0.01,0.01
3,random,uniform,3069,100,267,0.03,3,0.45,0.1,50,0.04,1,0.69,0.18,0.02,0.0
4,random,uniform,4078,100,246,0.03,3,0.45,0.1,50,0.05,2,0.67,0.18,0.02,0.02
5,random,uniform,5087,100,250,0.03,3,0.45,0.1,50,0.05,1,0.72,0.16,0.0,0.0
6,random,uniform,6096,100,249,0.03,3,0.45,0.1,50,0.03,0,0.72,0.2,0.0,0.0
7,random,uniform,7105,100,253,0.03,3,0.45,0.1,50,0.07,2,0.68,0.16,0.01,0.01
8,random,uniform,8114,100,238,0.03,3,0.45,0.1,50,0.04,1,0.69,0.19,0.04,0.04
9,random,uniform,9123,100,214,0.03,3,0.45,0.1,50,0.05,1,0.68,0.23,0.04,0.02
10,random,uniform,10132,100,231,0.03,3,0.45,0.1,50,0.05,1,0.74,0.3,0.0,0.0
11,random,uniform,11141,100,248,0.03,3,0.45,0.1,50,0.05,1,0.66,0.24,0.02,0.02
12,random,uniform,12150,100,252,0.03,3,0.45,0.1,50,0.06,1,0.7,0.24,0.04,0.0
13,random,uniform,13159,100,240,0.03,3,0.45,0.1,50,0.05,2,0.69,0.2,0.03,0.02
14,random,uniform,14168,100,251,0.03,3,0.45,0.1,50,0.03,0,0.71,0.18,0.03,0.02
15,random,uniform,15177,100,250,0.03,3,0.45,0.1,50,0.04,1,0.67,0.16,0.0,0.0
16,random,uniform,16186,100,249,0.03,3,0.45,0.1,50,0.04,1,0.73,0.27,0.02,0.0
17,random,uniform,17195,100,246,0.03,3,0.45,0.1,50,0.09,2,0.63,0.15,0.0,0.0
18,random,uniform,18204,100,249,0.03,3,0.45,0.1,50,0.05,1,0.66,0.18,0.02,0.01
19,random,uniform,19213,100,251,0.03,3,0.45,0.1,50,0.03,0,0.71,0.18,0.01,0.01
20,random,uniform,20222,100,234,0.03,3,0.45,0.1,50,0.06,1,0.69,0.22,0.01,0.0
21,random,uniform,21231,100,268,0.03,3,0.45,0.1,50,0.03,0,0.69,0.1,0.01,0.01
22,random,uniform,22240,100,271,0.03,3,0.45,0.1,50,0.07,1,0.6,0.1,0.0,0.0
23,random,uniform,23249,100,216,0.03,3,0.45,0.1,50,0.05,1,0.72,0.2,0.05,0.0
24,random,uniform,24258,100,238,0.03,3,0.45,0.1,50,0.1,4,0.62,0.14,0.02,0.02
25,random,uniform,25267,100,244,0.03,3,0.45,0.1,50,0.05,1,0.67,0.17,0.02,0.0
26,random,uniform,26276,100,279,0.03,3,0.45,0.1,50,0.06,2,0.64,0.09,0.0,0.0
27,random,uniform,27285,100,270,0.03,3,0.45,0.1,50,0.05,1,0.67,0.11,0.0,0.0
28,random,uniform,28294,100,225,0.03,3,0.45,0.1,50,0.05,2,0.65,0.19,0.03,0.03
29,random,uniform,29303,100,247,0.03,3,0.45,0.1,50,0.07,2,0.62,0.05,0.0,0.0
30,random,uniform,30312,100,234,0.03,3,0.45,0.1,50,0.05,1,0.67,0.16,0.01,0.01
31,random,uniform,31321,100,272,0.03,3,0.45,0.1,50,0.05,2,0.65,0.1,0.0,0.0
32,random,uniform,32330,100,233,0.03,3,0.45,0.1,50,0.07,2,0.66,0.22,0.01,0.01
33,random,uniform,33339,100,252,0.03,3,0.45,0.1,50,0.07,1,0.64,0.07,0.0,0.0
34,random,uniform,34348,100,247,0.03,3,0.45,0.1,50,0.08,1,0.62,0.17,0.03,0.03
35,random,uniform,35357,100,230,0.03,3,0.45,0.1,50,0.07,2,0.64,0.12,0.01,0.01
36,random,uniform,36366,100,238,0.03,3,0.45,0.1,50,0.06,2,0.68,0.18,0.01,0.0
37,random,uniform,37375,100,266,0.03,3,0.45,0.1,50,0.05,1,0.67,0.18,0.01,0.0
38,random,uniform,38384,100,266,0.03,3,0.45,0.1,50,0.05,1,0.65,0.06,0.01,0.01
39,random,uniform,39393,100,197,0.03,3,0.45,0.1,50,0.09,1,0.69,0.27,0.02,0.01
40,random,uniform,40402,100,246,0.03,3,0.45,0.1,50,0.06,2,0.67,0.18,0.0,0.0
41,random,uniform,41411,100,246,0.03,3,0.45,0.1,50,0.04,1,0.69,0.21,0.0,0.0
42,random,uniform,42420,100,241,0.03,3,0.45,0.1,50,0.03,0,0.74,0.24,0.03,0.02
43,random,uniform,43429,100,239,0.03,3,0.45,0.1,50,0.04,1,0.7,0.23,0.03,0.01
44,random,uniform,44438,100,260,0.03,3,0.45,0.1,50,0.04,1,0.67,0.14,0.01,0.0
45,random,uniform,45447,100,263,0.03,3,0.45,0.1,50,0.04,1,0.76,0.35,0.02,0.0
46,random,uniform,46456,100,248,0.03,3,0.45,0.1,50,0.07,2,0.64,0.16,0.01,0.01
47,random,uniform,47465,100,252,0.03,3,0.45,0.1,50,0.06,1,0.71,0.16,0.0,0.0
48,random,uniform,48474,100,262,0.03,3,0.45,0.1,50,0.04,1,0.66,0.16,0.01,0.01
49,random,uniform,49483,100,247,0.03,3,0.45,0.1,50,0.06,1,0.65,0.2,0.01,0.0
50,random,uniform,50492,100,242,0.03,3,0.45,0.1,50,0.07,3,0.61,0.13,0.01,0.01
51,random,uniform,51501,100,259,0.03,3,0.45,0.1,50,0.03,0,0.7,0.2,0.0,0.0
52,random,uniform,52510,100,242,0.03,3,0.45,0.1,50,0.06,1,0.65,0.13,0.01,0.01
53,random,uniform,53519,100,270,0.03,3,0.45,0.1,50,0.05,1,0.7,0.21,0.01,0.0
54,random,uniform,54528,100,251,0.03,3,0.45,0.1,50,0.07,3,0.59,0.08,0.02,0.02
55,random,uniform,55537,100,249,0.03,3,0.45,0.1,50,0.07,2,0.61,0.14,0.01,0.0
56,random,uniform,56546,100,222,0.03,3,0.45,0.1,50,0.06,2,0.69,0.17,0.01,0.01
57,random,uniform,57555,100,255,0.03,3,0.45,0.1,50,0.06,1,0.65,0.15,0.01,0.01
58,random,uniform,58564,100,239,0.03,3,0.45,0.1,50,0.08,1,0.67,0.21,0.01,0.0
59,random,uniform,59573,100,266,0.03,3,0.45,0.1,50,0.09,3,0.57,0.12,0.01,0.01
60,random,uniform,60582,100,238,0.03,3,0.45,0.1,50,0.05,1,0.74,0.19,0.01,0.01
61,random,uniform,61591,100,266,0.03,3,0.45,0.1,50,0.06,1,0.62,0.1,0.01,0.01
62,random,uniform,62600,100,236,0.03,3,0.45,0.1,50,0.05,1,0.7,0.26,0.04,0.0
63,random,uniform,63609,100,260,0.03,3,0.45,0.1,50,0.06,1,0.65,0.14,0.03,0.02
64,random,uniform,64618,100,233,0.03,3,0.45,0.1,50,0.05,1,0.7,0.25,0.06,0.02
65,random,uniform,65627,100,241,0.03,3,0.45,0.1,50,0.04,1,0.7,0.21,0.0,0.0
66,random,uniform,66636,100,283,0.03,3,0.45,0.1,50,0.04,1,0.67,0.12,0.0,0.0
67,random,uniform,67645,100,246,0.03,3,0.45,0.1,50,0.05,2,0.67,0.17,0.02,0.0
68,random,uniform,68654,100,263,0.03,3,0.45,0.1,50,0.08,2,0.65,0.18,0.0,0.0
69,random,uniform,69663,100,227,0.03,3,0.45,0.1,50,0.11,3,0.57,0.12,0.01,0.0
70,random,uniform,70672,100,258,0.03,3,0.45,0.1,50,0.03,0,0.68,0.2,0.03,0.02
71,random,uniform,71681,100,250,0.03,3,0.45,0.1,50,0.09,2,0.64,0.1,0.0,0.0
72,random,uniform,72690,100,254,0.03,3,0.45,0.1,50,0.03,0,0.69,0.15,0.01,0.0
73,random,uniform,73699,100,216,0.03,3,0.45,0.1,50,0.06,1,0.7,0.24,0.03,0.02
74,random,uniform,74708,100,238,0.03,3,0.45,0.1,50,0.07,1,0.71,0.28,0.05,0.02
75,random,uniform,75717,100,234,0.03,3,0.45,0.1,50,0.04,1,0.71,0.25,0.02,0.01
76,random,uniform,76726,100,251,0.03,3,0.45,0.1,50,0.07,1,0.61,0.13,0.0,0.0
77,random,uniform,77735,100,246,0.03,3,0.45,0.1,50,0.06,1,0.73,0.28,0.0,0.0
78,random,uniform,78744,100,232,0.03,3,0.45,0.1,50,0.09,3,0.64,0.13,0.0,0.0
79,random,uniform,79753,100,235,0.03,3,0.45,0.1,50,0.06,1,0.68,0.28,0.01,0.0
80,random,uniform,80762,100,250,0.03,3,0.45,0.1,50,0.07,2,0.7,0.29,0.04,0.03
81,random,uniform,81771,100,244,0.03,3,0.45,0.1,50,0.04,1,0.71,0.16,0.01,0.0
82,random,uniform,82780,100,241,0.03,3,0.45,0.1,50,0.06,1,0.68,0.18,0.02,0.01
83,random,uniform,83789,100,251,0.03,3,0.45,0.1,50,0.04,1,0.68,0.19,0.0,0.0
84,random,uniform,84798,100,247,0.03,3,0.45,0.1,50,0.03,0,0.7,0.19,0.01,0.01
85,random,uniform,85807,100,271,0.03,3,0.45,0.1,50,0.03,0,0.7,0.13,0.0,0.0
86,random,uniform,86816,100,246,0.03,3,0.45,0.1,50,0.05,1,0.68,0.17,0.01,0.01
87,random,uniform,87825,100,252,0.03,3,0.45,0.1,50,0.07,2,0.65,0.14,0.02,0.01
88,random,uniform,88834,100,238,0.03,3,0.45,0.1,50,0.07,3,0.71,0.24,0.01,0.01
89,random,uniform,89843,100,235,0.03,3,0.45,0.1,50,0.04,1,0.72,0.27,0.03,0.0
90,random,uniform,90852,100,246,0.03,3,0.45,0.1,50,0.07,2,0.66,0.19,0.0,0.0
91,random,uniform,91861,100,244,0.03,3,0.45,0.1,50,0.05,1,0.66,0.19,0.01,0.01
92,random,uniform,92870,100,237,0.03,3,0.45,0.1,50,0.05,1,0.7,0.2,0.01,0.01
93,random,uniform,93879,100,229,0.03,3,0.45,0.1,50,0.07,1,0.63,0.16,0.03,0.02
94,random,uniform,94888,100,236,0.03,3,0.45,0.1,50,0.05,1,0.69,0.24,0.01,0.0
95,random,uniform,95897,100,221,0.03,3,0.45,0.1,50,0.06,2,0.63,0.15,0.01,0.01
96,random,uniform,96906,100,239,0.03,3,0.45,0.1,50,0.07,2,0.66,0.16,0.02,0.02
97,random,uniform,97915,100,263,0.03,3,0.45,0.1,50,0.06,1,0.67,0.11,0.0,0.0
98,random,uniform,98924,100,255,0.03,3,0.45,0.1,50,0.05,1,0.7,0.24,0.02,0.01
99,random,uniform,99933,100,270,0.03,3,0.45,0.1,50,0.07,2,0.63,0.13,0.01,0.01
100,random,uniform,100942,100,252,0.03,3,0.45,0.1,50,0.06,1,0.68,0.13,0.01,0.01
101,random,uniform,101951,100,241,0.03,3,0.45,0.1,50,0.11,3,0.57,0.17,0.02,0.01
102,random,uniform,102960,100,245,0.03,3,0.45,0.1,50,0.05,1,0.68,0.18,0.01,0.01
103,random,uniform,103969,100,268,0.03,3,0.45,0.1,50,0.04,1,0.66,0.13,0.01,0.01
