metric,weight_type,kind,ame,ame_se,ame_p,interaction_coef,interaction_p
xi,degree,random,-0.3051,0.0071,0.0,0.0,
xi,degree,scale_free,-0.5505,0.0309,0.0,1.0669,0.0004
xi,degree,small_world,-0.318,0.0088,0.0,-2.5171,0.0
xi,inv_degree,random,-0.3316,0.0077,0.0,0.0,
xi,inv_degree,scale_free,-0.4958,0.028,0.0,2.1287,0.0
xi,inv_degree,small_world,-0.3485,0.0083,0.0,-2.607,0.0
xi,uniform,random,-0.3619,0.0081,0.0,0.0,
xi,uniform,scale_free,-0.4631,0.0258,0.0,2.819,0.0
xi,uniform,small_world,-0.3385,0.0112,0.0,-1.9259,0.0
xi_1,degree,random,-0.2055,0.0111,0.0,0.0,
xi_1,degree,scale_free,-0.8443,0.0785,0.0,-3.3272,0.0
xi_1,degree,small_world,-0.1838,0.0304,0.0,-0.8431,0.3028
xi_1,inv_degree,random,-0.2782,0.0092,0.0,0.0,
xi_1,inv_degree,scale_free,-0.7385,0.0457,0.0,-1.0595,0.0158
xi_1,inv_degree,small_world,-0.2778,0.0302,0.0,-1.73,0.03
xi_1,uniform,random,-0.3183,0.0117,0.0,0.0,
xi_1,uniform,scale_free,-0.731,0.0482,0.0,-0.3671,0.4406
xi_1,uniform,small_world,-0.3285,0.0349,0.0,-2.3889,0.0094
