run_id,kind,weight_type,rng_seed,n,edges,seed_frac,seed_count,theta_mean,theta_sd,max_steps,alpha,final_adoption,steps_to_converge,xi
1,random,uniform,1051,100,233,0.03,3,0.45,0.1,50,1.5,0.06,1,0.775055516873785
2,random,uniform,2060,100,263,0.03,3,0.45,0.1,50,1.5,0.04,1,0.8106307251969825
3,random,uniform,3069,100,267,0.03,3,0.45,0.1,50,1.5,0.04,1,0.8125796489314568
4,random,uniform,4078,100,246,0.03,3,0.45,0.1,50,1.5,0.05,2,0.7893746658899541
5,random,uniform,5087,100,250,0.03,3,0.45,0.1,50,1.5,0.05,1,0.7878938492311726
6,random,uniform,6096,100,249,0.03,3,0.45,0.1,50,1.5,0.03,0,0.8441815986126997
7,random,uniform,7105,100,253,0.03,3,0.45,0.1,50,1.5,0.07,2,0.7496977412727764
8,random,uniform,8114,100,238,0.03,3,0.45,0.1,50,1.5,0.04,1,0.8046843068959739
9,random,uniform,9123,100,214,0.03,3,0.45,0.1,50,1.5,0.05,1,0.81608887182728
10,random,uniform,10132,100,231,0.03,3,0.45,0.1,50,1.5,0.05,1,0.8247954879706625
11,random,uniform,11141,100,248,0.03,3,0.45,0.1,50,1.5,0.05,1,0.7789209437114516
12,random,uniform,12150,100,252,0.03,3,0.45,0.1,50,1.5,0.06,1,0.7806193736506388
13,random,uniform,13159,100,240,0.03,3,0.45,0.1,50,1.5,0.05,2,0.7902401862590845
14,random,uniform,14168,100,251,0.03,3,0.45,0.1,50,1.5,0.03,0,0.8350319518537402
15,random,uniform,15177,100,250,0.03,3,0.45,0.1,50,1.5,0.04,1,0.8109995662228173
16,random,uniform,16186,100,249,0.03,3,0.45,0.1,50,1.5,0.04,1,0.8147179911509822
17,random,uniform,17195,100,246,0.03,3,0.45,0.1,50,1.5,0.09,2,0.6951229317050002
18,random,uniform,18204,100,249,0.03,3,0.45,0.1,50,1.5,0.05,1,0.7867910663277248
19,random,uniform,19213,100,251,0.03,3,0.45,0.1,50,1.5,0.03,0,0.83661526036407
20,random,uniform,20222,100,234,0.03,3,0.45,0.1,50,1.5,0.06,1,0.7854078065154924
21,random,uniform,21231,100,268,0.03,3,0.45,0.1,50,1.5,0.03,0,0.8283896991228953
22,random,uniform,22240,100,271,0.03,3,0.45,0.1,50,1.5,0.07,1,0.7126146839878961
23,random,uniform,23249,100,216,0.03,3,0.45,0.1,50,1.5,0.05,1,0.8093770498200037
24,random,uniform,24258,100,238,0.03,3,0.45,0.1,50,1.5,0.1,4,0.6866388657010525
25,random,uniform,25267,100,244,0.03,3,0.45,0.1,50,1.5,0.05,1,0.7912297828768138
26,random,uniform,26276,100,279,0.03,3,0.45,0.1,50,1.5,0.06,2,0.7398334974734948
27,random,uniform,27285,100,270,0.03,3,0.45,0.1,50,1.5,0.05,1,0.7777590916290105
28,random,uniform,28294,100,225,0.03,3,0.45,0.1,50,1.5,0.05,2,0.7975090715359316
29,random,uniform,29303,100,247,0.03,3,0.45,0.1,50,1.5,0.07,2,0.7119376586916195
30,random,uniform,30312,100,234,0.03,3,0.45,0.1,50,1.5,0.05,1,0.7894869757230335
31,random,uniform,31321,100,272,0.03,3,0.45,0.1,50,1.5,0.05,2,0.777968278379311
32,random,uniform,32330,100,233,0.03,3,0.45,0.1,50,1.5,0.07,2,0.7514924612841462
33,random,uniform,33339,100,252,0.03,3,0.45,0.1,50,1.5,0.07,1,0.7282257609228333
34,random,uniform,34348,100,247,0.03,3,0.45,0.1,50,1.5,0.08,1,0.721448994020472
35,random,uniform,35357,100,230,0.03,3,0.45,0.1,50,1.5,0.07,2,0.740647807775394
36,random,uniform,36366,100,238,0.03,3,0.45,0.1,50,1.5,0.06,2,0.7802322134705819
37,random,uniform,37375,100,266,0.03,3,0.45,0.1,50,1.5,0.05,1,0.7806530706381983
38,random,uniform,38384,100,266,0.03,3,0.45,0.1,50,1.5,0.05,1,0.7645771021452984
39,random,uniform,39393,100,197,0.03,3,0.45,0.1,50,1.5,0.09,1,0.7491071608608928
40,random,uniform,40402,100,246,0.03,3,0.45,0.1,50,1.5,0.06,2,0.7659956592584048
41,random,uniform,41411,100,246,0.03,3,0.45,0.1,50,1.5,0.04,1,0.8137543717469626
42,random,uniform,42420,100,241,0.03,3,0.45,0.1,50,1.5,0.03,0,0.8483982450965183
43,random,uniform,43429,100,239,0.03,3,0.45,0.1,50,1.5,0.04,1,0.8199627243301555
44,random,uniform,44438,100,260,0.03,3,0.45,0.1,50,1.5,0.04,1,0.8063929711316566
45,random,uniform,45447,100,263,0.03,3,0.45,0.1,50,1.5,0.04,1,0.8268120241980959
46,random,uniform,46456,100,248,0.03,3,0.45,0.1,50,1.5,0.07,2,0.7239881769088257
47,random,uniform,47465,100,252,0.03,3,0.45,0.1,50,1.5,0.06,1,0.7737382971664003
48,random,uniform,48474,100,262,0.03,3,0.45,0.1,50,1.5,0.04,1,0.8006220124574552
49,random,uniform,49483,100,247,0.03,3,0.45,0.1,50,1.5,0.06,1,0.7608860787575803
50,random,uniform,50492,100,242,0.03,3,0.45,0.1,50,1.5,0.07,3,0.7226527367189142
