run_id,kind,weight_type,targeting,rng_seed,n,edges,seed_frac,seed_count,theta_mean,theta_sd,max_steps,final_adoption,steps_to_converge,xi_d_1,xi_a_1.5
1,random,uniform,degree,1051,100,262,0.03,3,0.3,0.05,50,1.0,13,0.0,0.0
2,random,uniform,degree,2060,100,248,0.03,3,0.3,0.05,50,0.06,1,0.66,0.7743129043659712
3,random,uniform,degree,3069,100,267,0.03,3,0.3,0.05,50,0.13,3,0.53,0.5815822485190651
4,random,uniform,degree,4078,100,252,0.03,3,0.3,0.05,50,0.18,7,0.45,0.528558943909406
5,random,uniform,degree,5087,100,250,0.03,3,0.3,0.05,50,1.0,11,0.0,0.0
6,random,uniform,degree,6096,100,249,0.03,3,0.3,0.05,50,0.07,1,0.64,0.7359038489982512
7,random,uniform,degree,7105,100,257,0.03,3,0.3,0.05,50,1.0,11,0.0,0.0
8,random,uniform,degree,8114,100,260,0.03,3,0.3,0.05,50,0.14,3,0.53,0.5564313242883274
9,random,uniform,degree,9123,100,260,0.03,3,0.3,0.05,50,1.0,13,0.0,0.0
10,random,uniform,degree,10132,100,231,0.03,3,0.3,0.05,50,0.23,5,0.42,0.44765118648434066
11,random,uniform,degree,11141,100,261,0.03,3,0.3,0.05,50,0.2,5,0.45,0.4451480288191614
12,random,uniform,degree,12150,100,252,0.03,3,0.3,0.05,50,0.13,4,0.54,0.591313036557455
13,random,uniform,degree,13159,100,232,0.03,3,0.3,0.05,50,1.0,10,0.0,0.0
14,random,uniform,degree,14168,100,248,0.03,3,0.3,0.05,50,1.0,11,0.0,0.0
15,random,uniform,degree,15177,100,250,0.03,3,0.3,0.05,50,1.0,12,0.0,0.0
16,random,uniform,degree,16186,100,249,0.03,3,0.3,0.05,50,0.06,1,0.69,0.7644633757323195
17,random,uniform,degree,17195,100,246,0.03,3,0.3,0.05,50,1.0,11,0.0,0.0
18,random,uniform,degree,18204,100,239,0.03,3,0.3,0.05,50,1.0,15,0.0,0.0
19,random,uniform,degree,19213,100,261,0.03,3,0.3,0.05,50,0.08,3,0.66,0.7240707998866586
20,random,uniform,degree,20222,100,234,0.03,3,0.3,0.05,50,1.0,11,0.0,0.0
21,random,uniform,degree,21231,100,269,0.03,3,0.3,0.05,50,0.05,1,0.66,0.7652205078294055
22,random,uniform,degree,22240,100,271,0.03,3,0.3,0.05,50,0.17,8,0.43,0.4620385849709072
23,random,uniform,degree,23249,100,216,0.03,3,0.3,0.05,50,1.0,12,0.0,0.0
24,random,uniform,degree,24258,100,266,0.03,3,0.3,0.05,50,0.18,7,0.47,0.4653742903795661
25,random,uniform,degree,25267,100,244,0.03,3,0.3,0.05,50,1.0,12,0.0,0.0
26,random,uniform,degree,26276,100,279,0.03,3,0.3,0.05,50,1.0,9,0.0,0.0
27,random,uniform,degree,27285,100,270,0.03,3,0.3,0.05,50,1.0,15,0.0,0.0
28,random,uniform,degree,28294,100,262,0.03,3,0.3,0.05,50,0.17,5,0.48,0.4910452317584024
29,random,uniform,degree,29303,100,247,0.03,3,0.3,0.05,50,1.0,10,0.0,0.0
30,random,uniform,degree,30312,100,243,0.03,3,0.3,0.05,50,0.07,2,0.68,0.7769457272440693
31,random,uniform,degree,31321,100,272,0.03,3,0.3,0.05,50,0.11,3,0.55,0.6248113855474207
32,random,uniform,degree,32330,100,250,0.03,3,0.3,0.05,50,0.15,5,0.51,0.5600810218750698
33,random,uniform,degree,33339,100,252,0.03,3,0.3,0.05,50,1.0,11,0.0,0.0
34,random,uniform,degree,34348,100,232,0.03,3,0.3,0.05,50,1.0,11,0.0,0.0
35,random,uniform,degree,35357,100,206,0.03,3,0.3,0.05,50,1.0,10,0.0,0.0
36,random,uniform,degree,36366,100,238,0.03,3,0.3,0.05,50,1.0,10,0.0,0.0
37,random,uniform,degree,37375,100,266,0.03,3,0.3,0.05,50,0.09,3,0.57,0.6685427081094114
38,random,uniform,degree,38384,100,267,0.03,3,0.3,0.05,50,0.16,7,0.45,0.5132493744862893
