metric,targeting,weight_type,kind,ame,ame_se,ame_ci_lo,ame_ci_hi,ame_p,interaction_coef,interaction_p
xi_a,degree,degree,random,-0.2464,0.0061,-0.2583,-0.2344,0.0,0.0,
xi_a,degree,degree,scale_free,-0.5505,0.0309,-0.611,-0.49,0.0,1.0394,0.0007
xi_a,degree,degree,small_world,-0.318,0.0088,-0.3352,-0.3008,0.0,-2.5446,0.0
xi_a,degree,inv_degree,random,-0.2767,0.0046,-0.2857,-0.2676,0.0,0.0,
xi_a,degree,inv_degree,scale_free,-0.4958,0.028,-0.5507,-0.4408,0.0,2.3994,0.0
xi_a,degree,inv_degree,small_world,-0.3485,0.0083,-0.3647,-0.3323,0.0,-2.3364,0.0
xi_a,degree,uniform,random,-0.2928,0.0052,-0.3029,-0.2827,0.0,0.0,
xi_a,degree,uniform,scale_free,-0.4631,0.0258,-0.5136,-0.4125,0.0,2.9623,0.0
xi_a,degree,uniform,small_world,-0.3385,0.0112,-0.3604,-0.3166,0.0,-1.7826,0.0
xi_a,random,degree,random,-0.1247,0.0059,-0.1363,-0.1132,0.0,0.0,
xi_a,random,degree,scale_free,-0.0808,0.002,-0.0847,-0.0769,0.0,1.3677,0.0
xi_a,random,degree,small_world,-0.2749,0.0139,-0.3021,-0.2478,0.0,-4.555,0.0
xi_a,random,inv_degree,random,-0.2496,0.0051,-0.2597,-0.2396,0.0,0.0,
xi_a,random,inv_degree,scale_free,-0.1674,0.0037,-0.1746,-0.1602,0.0,2.6383,0.0
xi_a,random,inv_degree,small_world,-0.2808,0.0367,-0.3528,-0.2089,0.0,-1.1381,0.311
xi_a,random,uniform,random,-0.1965,0.006,-0.2083,-0.1847,0.0,0.0,
xi_a,random,uniform,scale_free,-0.1406,0.007,-0.1543,-0.1268,0.0,1.9044,0.0
xi_a,random,uniform,small_world,-0.3199,0.01,-0.3396,-0.3002,0.0,-3.8168,0.0
xi_d,degree,degree,random,-0.1398,0.0097,-0.1587,-0.1208,0.0,0.0,
xi_d,degree,degree,scale_free,-0.8443,0.0785,-0.9981,-0.6905,0.0,-3.9602,0.0
xi_d,degree,degree,small_world,-0.1838,0.0304,-0.2433,-0.1243,0.0,-1.4761,0.0727
xi_d,degree,inv_degree,random,-0.1655,0.009,-0.183,-0.1479,0.0,0.0,
xi_d,degree,inv_degree,scale_free,-0.7385,0.0457,-0.8281,-0.6489,0.0,-2.4461,0.0
xi_d,degree,inv_degree,small_world,-0.2778,0.0302,-0.337,-0.2186,0.0,-3.1166,0.0001
xi_d,degree,uniform,random,-0.1932,0.0094,-0.2117,-0.1748,0.0,0.0,
xi_d,degree,uniform,scale_free,-0.731,0.0482,-0.8254,-0.6366,0.0,-1.7714,0.0002
xi_d,degree,uniform,small_world,-0.3285,0.0349,-0.3968,-0.2602,0.0,-3.7932,0.0
xi_d,random,degree,random,-0.0445,0.0043,-0.0528,-0.0362,0.0,0.0,
xi_d,random,degree,scale_free,-0.0405,0.0026,-0.0455,-0.0354,0.0,0.1547,0.2877
xi_d,random,degree,small_world,-0.1995,0.0366,-0.2712,-0.1278,0.0,-4.6208,0.0
xi_d,random,inv_degree,random,-0.0974,0.0067,-0.1105,-0.0843,0.0,0.0,
xi_d,random,inv_degree,scale_free,-0.0884,0.004,-0.0963,-0.0805,0.0,0.3759,0.0993
xi_d,random,inv_degree,small_world,-0.2313,0.0333,-0.2965,-0.1661,0.0,-4.0829,0.0001
xi_d,random,uniform,random,-0.0765,0.0065,-0.0893,-0.0638,0.0,0.0,
xi_d,random,uniform,scale_free,-0.0877,0.005,-0.0974,-0.0779,0.0,-0.1843,0.4417
xi_d,random,uniform,small_world,-0.2537,0.0342,-0.3207,-0.1866,0.0,-5.3521,0.0
