run_id,kind,weight_type,targeting,rng_seed,n,edges,seed_frac,seed_count,theta_mean,theta_sd,max_steps,final_adoption,steps_to_converge,xi_d_1,xi_a_1.5
41,random,uniform,degree,41411,100,312,0.03,3,0.45,0.1,50,0.04,1,0.66,0.7851146482886717
42,random,uniform,degree,42420,100,292,0.03,3,0.45,0.1,50,0.04,1,0.66,0.7975328437145653
43,random,uniform,degree,43429,100,300,0.03,3,0.45,0.1,50,0.03,0,0.68,0.8165590282712075
44,random,uniform,degree,44438,100,322,0.03,3,0.45,0.1,50,0.04,1,0.6,0.7603812204425283
45,random,uniform,degree,45447,100,309,0.03,3,0.45,0.1,50,0.03,0,0.7,0.8308501966984366
46,random,uniform,degree,46456,100,306,0.03,3,0.45,0.1,50,0.04,1,0.67,0.791938285229115
47,random,uniform,degree,47465,100,297,0.03,3,0.45,0.1,50,0.04,1,0.74,0.8133613600047621
48,random,uniform,degree,48474,100,308,0.03,3,0.45,0.1,50,0.03,0,0.65,0.8159082481730536
49,random,uniform,degree,49483,100,303,0.03,3,0.45,0.1,50,0.09,5,0.53,0.628004198763116
50,random,uniform,degree,50492,100,303,0.03,3,0.45,0.1,50,0.04,1,0.61,0.7809417322536839
51,random,uniform,degree,51501,100,305,0.03,3,0.45,0.1,50,0.04,1,0.65,0.7827299758010468
52,random,uniform,degree,52510,100,285,0.03,3,0.45,0.1,50,0.04,1,0.62,0.7825547747977778
53,random,uniform,degree,53519,100,311,0.03,3,0.45,0.1,50,0.04,1,0.69,0.8044403901338975
54,random,uniform,degree,54528,100,309,0.03,3,0.45,0.1,50,0.03,0,0.63,0.8065396699619939
55,random,uniform,degree,55537,100,300,0.03,3,0.45,0.1,50,0.03,0,0.65,0.8172827661590066
56,random,uniform,degree,56546,100,282,0.03,3,0.45,0.1,50,0.03,0,0.69,0.8233013518487989
57,random,uniform,degree,57555,100,289,0.03,3,0.45,0.1,50,0.05,1,0.61,0.7612613061538169
58,random,uniform,degree,58564,100,296,0.03,3,0.45,0.1,50,0.03,0,0.68,0.8241027810718351
59,random,uniform,degree,59573,100,309,0.03,3,0.45,0.1,50,0.04,1,0.65,0.7902819812066346
60,random,uniform,degree,60582,100,306,0.03,3,0.45,0.1,50,0.03,0,0.67,0.8151483898938503
81,random,uniform,degree,81771,100,300,0.03,3,0.45,0.1,50,0.05,1,0.58,0.7370526135431926
82,random,uniform,degree,82780,100,278,0.03,3,0.45,0.1,50,0.06,1,0.63,0.7297603350844547
83,random,uniform,degree,83789,100,299,0.03,3,0.45,0.1,50,0.04,1,0.66,0.7936214311264621
84,random,uniform,degree,84798,100,303,0.03,3,0.45,0.1,50,0.03,0,0.67,0.8179919809143332
85,random,uniform,degree,85807,100,324,0.03,3,0.45,0.1,50,0.03,0,0.65,0.8097028929669754
86,random,uniform,degree,86816,100,308,0.03,3,0.45,0.1,50,0.04,1,0.65,0.7883238318563243
87,random,uniform,degree,87825,100,295,0.03,3,0.45,0.1,50,0.08,4,0.56,0.6754486542523752
88,random,uniform,degree,88834,100,288,0.03,3,0.45,0.1,50,0.05,1,0.68,0.7932505505666412
89,random,uniform,degree,89843,100,285,0.03,3,0.45,0.1,50,0.03,0,0.68,0.8344622571065012
90,random,uniform,degree,90852,100,300,0.03,3,0.45,0.1,50,0.04,1,0.64,0.7854429943497963
91,random,uniform,degree,91861,100,289,0.03,3,0.45,0.1,50,0.04,1,0.64,0.7924922202822132
92,random,uniform,degree,92870,100,298,0.03,3,0.45,0.1,50,0.03,0,0.68,0.820362847276322
93,random,uniform,degree,93879,100,300,0.03,3,0.45,0.1,50,0.04,1,0.66,0.787474972049221
94,random,uniform,degree,94888,100,281,0.03,3,0.45,0.1,50,0.05,1,0.65,0.7660976968946174
95,random,uniform,degree,95897,100,277,0.03,3,0.45,0.1,50,0.04,1,0.63,0.783431399423078
96,random,uniform,degree,96906,100,287,0.03,3,0.45,0.1,50,0.08,2,0.57,0.6707037609724474
